name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27096205737,103.765345687,0.617333,1.17871,4.95499,283.349,8.91863247769,0.0,2023-07-31 15:34:12,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27097144558,103.765307999,0.617333,1.17871,4.95499,283.349,8.91863247769,0.0,2023-07-31 15:34:22,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27102518713,103.765197699,0.823111,1.58825,5.09636,291.541,8.91863247769,0.0,2023-07-31 15:34:32,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27103507971,103.765130738,0.977444,1.88583,4.96721,284.323,8.91863247769,0.0,2023-07-31 15:34:42,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27108844435,103.7649902,1.02889,2.09656,5.00211,287.259,8.91863247769,0.0,2023-07-31 15:34:52,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27110899683,103.764925328,1.08033,2.09656,5.01782,287.259,8.91863247769,0.0,2023-07-31 15:35:02,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27113684337,103.764849741,1.13178,2.18239,5.0248,287.628,8.91863247769,0.0,2023-07-31 15:35:12,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27120209567,103.764691715,1.23467,2.37984,5.06495,290.063,8.91863247769,0.0,2023-07-31 15:35:22,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27122907762,103.764618875,1.23467,2.37984,5.06495,290.063,8.91863247769,0.0,2023-07-31 15:35:32,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27129143278,103.764450661,1.33756,2.5777,5.09636,290.758,8.91863247769,0.0,2023-07-31 15:35:42,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27132146781,103.764372064,1.33756,2.5777,5.07542,290.758,8.91863247769,0.0,2023-07-31 15:35:52,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27136049761,103.76430154,1.33756,2.67503,5.07542,292.652,8.91863247769,0.0,2023-07-31 15:36:02,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27143602646,103.764113153,1.44044,2.78486,5.12778,293.881,8.91863247769,0.0,2023-07-31 15:36:12,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27147281757,103.764030257,1.44044,2.78486,5.12778,293.881,8.91863247769,0.0,2023-07-31 15:36:22,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27155450145,103.763856277,1.49189,2.99238,5.11905,291.732,8.91863247769,0.0,2023-07-31 15:36:32,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27159139077,103.76375598,1.49189,2.98904,5.11905,292.563,8.91863247769,0.0,2023-07-31 15:36:42,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27162877943,103.763666292,1.54333,2.98904,5.10509,292.563,8.91863247769,0.0,2023-07-31 15:36:52,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27170057441,103.76347128,1.59478,3.09242,5.05273,289.46,8.91863247769,0.0,2023-07-31 15:37:02,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27173378975,103.763388051,1.59478,3.17871,5.05273,289.654,8.91863247769,0.0,2023-07-31 15:37:12,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27176598607,103.763253805,1.64622,3.18435,5.02306,287.771,8.91863247769,0.0,2023-07-31 15:37:22,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27183109847,103.763017902,1.64622,3.22139,5.02306,287.56,8.91863247769,0.0,2023-07-31 15:37:32,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27184432606,103.762918624,1.69767,3.31025,4.94277,282.894,8.91863247769,0.0,2023-07-31 15:37:42,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.2718826079,103.762686276,1.74911,3.33311,4.89041,279.737,8.91863247769,0.0,2023-07-31 15:37:52,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27190186618,103.762580163,1.74911,3.31732,4.89041,280.125,8.91863247769,0.0,2023-07-31 15:38:02,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27193300933,103.762366549,1.80056,3.40922,4.84154,277.206,8.91863247769,0.0,2023-07-31 15:38:12,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27194747457,103.762255083,1.80056,3.4285,4.84154,277.165,8.91863247769,0.0,2023-07-31 15:38:22,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27195359031,103.762136457,1.80056,3.4142,4.79966,274.899,8.91863247769,0.0,2023-07-31 15:38:32,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27196110431,103.761924336,1.852,3.52179,4.75951,272.531,8.91863247769,0.0,2023-07-31 15:38:42,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27195453013,103.76179304,1.852,3.5378,4.71413,270.0,8.91863247769,0.0,2023-07-31 15:38:52,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27193312048,103.761568565,1.90344,3.64516,4.63036,265.718,8.91863247769,0.0,2023-07-31 15:39:02,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27192186918,103.761432206,1.90344,3.64516,4.61116,265.718,8.91863247769,0.0,2023-07-31 15:39:12,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27190353026,103.761274041,1.90344,3.65179,4.61116,264.502,8.91863247769,0.0,2023-07-31 15:39:22,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27186599156,103.761045153,1.90344,3.66867,4.53611,260.238,8.91863247769,0.0,2023-07-31 15:39:32,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27184422121,103.760926256,1.90344,3.67201,4.53611,259.939,8.91863247769,0.0,2023-07-31 15:39:42,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27178721035,103.760715392,1.95489,3.79104,4.48375,256.961,8.91863247769,0.0,2023-07-31 15:39:52,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27175847007,103.760594381,1.95489,3.79104,4.48375,256.961,8.91863247769,0.0,2023-07-31 15:40:02,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.2717252065,103.76046334,1.95489,3.80998,4.48375,257.027,8.91863247769,0.0,2023-07-31 15:40:12,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27163016192,103.76017189,2.00633,3.89875,4.41743,253.191,8.91863247769,0.0,2023-07-31 15:40:22,False
MSC QINGDAO F,3FUA2   ,9221059,PA,,CS,15988,352578000,1.27159293214,103.760050361,2.00633,3.89875,4.41743,253.191,8.91863247769,0.0,2023-07-31 15:40:32,False
